Country Name,Lat,Lon
United States Virgin Islands,18.335765,-64.896335
Belize,17.189877,-88.49765
Costa Rica,9.748916999999999,-83.753428
El Salvador,13.794185,-88.89653
Guatemala,15.783471,-90.23075899999999
Honduras,15.199999,-86.241905
Mexico,23.634501,-102.552784
Nicaragua,12.865416,-85.207229
Panama,8.537981,-80.782127
Argentina,-38.416097,-63.61667199999999
Bolivia (Plurinational State of),-16.290154,-63.58865299999999
Bouvet Island,-54.4207915,3.3464497
Brazil,-14.235004,-51.92528
Chile,-35.675147,-71.542969
Colombia,4.570868,-74.297333
Ecuador,-1.831239,-78.18340599999999
Falkland Islands (Malvinas),-51.796253,-59.523613
French Guiana,3.933889,-53.125782
Guyana,4.860416,-58.93018
Paraguay,-23.442503,-58.443832
Peru,-9.189967,-75.015152
South Georgia and the South Sandwich Islands,-54.429579,-36.587909
Suriname,3.919305,-56.027783
Uruguay,-32.522779,-55.765835
Venezuela (Bolivarian Republic of),6.42375,-66.58973
Bermuda,32.3078,-64.7505
Canada,56.130366,-106.346771
Greenland,71.706936,-42.604303
Saint Pierre and Miquelon,46.8852,-56.3159
United States of America,37.09024,-95.712891
Antarctica,-82.862752,135.0
Kazakhstan,48.019573,66.923684
Kyrgyzstan,41.20438,74.766098
Tajikistan,38.861034,71.276093
Turkmenistan,38.969719,59.556278
Uzbekistan,41.377491,64.585262
China,35.86166,104.195397
Hong Kong,22.3193039,114.1693611
Macao,22.198745,113.543873
Democratic People's Republic of Korea,40.339852,127.510093
Japan,36.204824,138.252924
Mongolia,46.862496,103.846656
Republic of Korea,35.907757,127.766922
Brunei Darussalam,4.535277,114.727669
Cambodia,12.565679,104.990963
Indonesia,-0.789275,113.921327
Lao People's Democratic Republic,19.85627,102.495496
Malaysia,4.210484,101.975766
Myanmar,21.916221,95.955974
Philippines,12.879721,121.774017
Singapore,1.352083,103.819836
Thailand,15.870032,100.992541
Timor-Leste,-8.874217,125.727539
Viet Nam,14.058324,108.277199
Afghanistan,33.93911,67.709953
Bangladesh,23.684994,90.356331
Bhutan,27.514162,90.433601
India,20.593684,78.96288
Iran (Islamic Republic of),32.427908,53.688046
Maldives,3.202778,73.22068
Nepal,28.394857,84.12400799999999
Pakistan,30.375321,69.34511599999999
Sri Lanka,7.873053999999999,80.77179699999999
Armenia,40.069099,45.038189
Azerbaijan,40.143105,47.576927
Bahrain,26.0667,50.5577
Cyprus,35.126413,33.429859
Georgia,32.1656221,-82.9000751
Iraq,33.223191,43.679291
Israel,31.046051,34.851612
Jordan,37.9973704,-97.3342624
Kuwait,29.31166,47.481766
Lebanon,33.854721,35.862285
Oman,21.4735329,55.975413
Qatar,25.354826,51.183884
Saudi Arabia,23.885942,45.079162
State of Palestine,31.952162,35.233154
Syrian Arab Republic,34.80207499999999,38.996815
Turkey,38.963745,35.243322
United Arab Emirates,23.424076,53.847818
Yemen,15.552727,48.516388
Belarus,53.709807,27.953389
Bulgaria,42.733883,25.48583
Czechia,49.81749199999999,15.472962
Hungary,47.162494,19.5033041
Poland,51.919438,19.145136
Republic of Moldova,47.411631,28.369885
Romania,45.943161,24.96676
Russian Federation,61.52401,105.318756
Slovakia,48.669026,19.699024
Ukraine,48.379433,31.1655799
Åland Islands,60.1785247,19.9156105
Guernsey,49.4481982,-2.58949
Jersey,49.214439,-2.13125
Sark,49.4300745,-2.3666256
Denmark,56.26392,9.501785
Estonia,58.595272,25.0136071
Faroe Islands,61.89263500000001,-6.9118061
Finland,61.92410999999999,25.7481511
Iceland,64.963051,-19.020835
Ireland,53.1423672,-7.692053599999999
Isle of Man,54.236107,-4.548056
Latvia,56.879635,24.603189
Lithuania,55.169438,23.881275
Norway,60.47202399999999,8.468945999999999
Svalbard and Jan Mayen Islands,77.55360399999999,23.6702719
Sweden,60.12816100000001,18.643501
United Kingdom of Great Britain and Northern Ireland,55.378051,-3.435973
Albania,41.153332,20.168331
Andorra,42.506285,1.521801
Bosnia and Herzegovina,43.915886,17.679076
Croatia,45.1,15.2000001
Gibraltar,36.140751,-5.353585
Greece,39.074208,21.824312
Holy See,38.9246496,-77.0656832
Italy,41.87194,12.56738
Malta,35.937496,14.375416
Montenegro,42.708678,19.37439
North Macedonia,41.608635,21.745275
Portugal,39.39987199999999,-8.224454
San Marino,43.94236,12.457777
Serbia,44.016521,21.005859
Slovenia,46.151241,14.995463
Spain,40.46366700000001,-3.74922
Austria,47.516231,14.550072
Belgium,50.503887,4.469936
France,46.227638,2.213749
Germany,51.165691,10.451526
Liechtenstein,47.166,9.555373
Luxembourg,49.815273,6.129582999999999
Monaco,43.73841760000001,7.424615799999999
Netherlands,52.132633,5.291265999999999
Switzerland,46.818188,8.227511999999999
Australia,-25.274398,133.775136
Christmas Island,-10.447525,105.690449
Cocos (Keeling) Islands,-12.164165,96.87095599999999
Heard Island and McDonald Islands,-53.08181,73.50415799999999
New Zealand,-40.900557,174.885971
Norfolk Island,-29.040835,167.954712
Fiji,-17.713371,178.065032
New Caledonia,-20.904305,165.618042
Papua New Guinea,-6.314992999999999,143.95555
Solomon Islands,-9.64571,160.156194
Vanuatu,-15.376706,166.959158
Guam,13.444304,144.793731
Kiribati,-3.370417,-168.734039
Marshall Islands,7.131474,171.184478
Micronesia (Federated States of),7.425554,150.550812
Nauru,-0.522778,166.931503
Northern Mariana Islands,15.0979,145.6739
Palau,7.514979999999999,134.58252
United States Minor Outlying Islands,19.2823192,166.647047
American Samoa,-14.270972,-170.132217
Cook Islands,-21.236736,-159.777671
French Polynesia,-17.679742,-149.406843
Niue,-19.054445,-169.867233
Pitcairn,-24.3767537,-128.3242376
Samoa,-13.759029,-172.104629
Tokelau,-9.200199999999999,-171.8484
Tonga,-21.178986,-175.198242
Tuvalu,-7.109534999999999,177.64933
Wallis and Futuna Islands,-14.2938,-178.1165
